"日期","销量（升）","石化站价格","竞争站价格","价差"
2023-07-17,40.06,"7.63",7.19,0.44
2023-07-18,0.24,"7.63",7.19,0.44
2023-07-19,239.41,"7.63",7.19,0.44
2023-07-20,381.09,"7.63",7.19,0.44
2023-07-21,553.67,"7.63",7.19,0.44
2023-07-22,490.61,"7.63",7.19,0.44
2023-07-23,756.97,"7.63",7.19,0.44
2023-07-24,595.30,"7.63",7.19,0.44
2023-07-25,752.72,"7.63",7.19,0.44
2023-07-26,1199.31,"7.63",7.19,0.44
2023-07-27,617.91,"7.85",7.19,0.66
2023-07-28,698.60,"7.85",7.19,0.66
2023-07-29,867.47,"7.85",7.19,0.66
2023-07-30,594.44,"7.85",7.19,0.66
2023-07-31,1011.91,"7.85",7.19,0.66
2023-08-01,935.10,"7.85",7.19,0.66
2023-08-02,719.06,"7.85",7.19,0.66
2023-08-03,776.81,"7.85",7.19,0.66
2023-08-04,720.66,"7.85",7.19,0.66
2023-08-05,657.02,"7.85",7.19,0.66
2023-08-06,941.19,"7.85",7.19,0.66
2023-08-07,958.48,"7.85",7.19,0.66
2023-08-08,933.75,"7.85",7.19,0.66
2023-08-09,1050.91,"7.85",7.19,0.66
2023-08-10,910.52,"8.05",7.19,0.86
2023-08-11,971.75,"8.05",7.19,0.86
2023-08-12,796.53,"8.05",7.19,0.86
2023-08-13,507.46,"8.05",7.19,0.86
2023-08-14,879.80,"8.05",7.19,0.86
2023-08-15,906.05,"8.05",7.19,0.86
2023-08-16,1003.29,"8.05",7.19,0.86
2023-08-17,662.04,"8.05",7.19,0.86
2023-08-18,646.14,"8.05",7.19,0.86
2023-08-19,903.43,"8.05",7.19,0.86
2023-08-20,894.97,"8.05",7.19,0.86
2023-08-21,837.66,"8.05",7.19,0.86
2023-08-22,843.60,"8.05",7.19,0.86
2023-08-23,672.72,"8.05",7.19,0.86
2023-08-24,896.72,"8.09",7.19,0.90
2023-08-25,652.11,"8.09",7.19,0.90
2023-08-26,778.76,"8.09",7.19,0.90
2023-08-27,591.32,"8.09",7.19,0.90
2023-08-28,925.97,"8.09",7.19,0.90
2023-08-29,964.16,"8.09",7.19,0.90
2023-08-30,714.24,"8.09",7.19,0.90
2023-08-31,649.33,"8.09",7.19,0.90
2023-09-01,872.27,"8.09",7.19,0.90
2023-09-02,966.77,"8.09",7.19,0.90
2023-09-03,931.72,"8.09",7.19,0.90
2023-09-04,911.15,"8.09",7.19,0.90
2023-09-05,784.00,"8.09",7.19,0.90
2023-09-06,1109.64,"8.09",7.19,0.90
2023-09-07,859.95,"8.09",7.19,0.90
2023-09-08,1018.21,"8.09",7.19,0.90
2023-09-09,439.39,"8.09",7.19,0.90
2023-09-10,927.09,"8.09",7.19,0.90
2023-09-11,940.33,"8.09",7.19,0.90
2023-09-12,958.45,"8.09",7.19,0.90
2023-09-13,1009.43,"8.09",7.19,0.90
2023-09-14,956.17,"8.09",7.19,0.90
2023-09-15,860.89,"8.09",7.19,0.90
2023-09-16,1441.91,"8.09",7.19,0.90
2023-09-17,668.62,"8.09",7.19,0.90
2023-09-18,908.53,"8.09",7.19,0.90
2023-09-19,951.11,"8.09",7.19,0.90
2023-09-20,1487.09,"8.09",7.19,0.90
2023-09-21,782.95,"8.40",7.19,1.21
2023-09-22,1051.83,"8.40",7.19,1.21
2023-09-23,691.27,"8.40",7.19,1.21
2023-09-24,832.04,"8.40",7.19,1.21
2023-09-25,786.69,"8.40",7.19,1.21
2023-09-26,1004.37,"8.40",7.19,1.21
2023-09-27,1122.07,"8.40",7.19,1.21
2023-09-28,1173.95,"8.40",7.19,1.21
2023-09-29,1088.69,"8.40",7.19,1.21
2023-09-30,801.40,"8.40",7.19,1.21
2023-10-01,700.53,"8.40",7.19,1.21
2023-10-02,864.02,"8.40",7.19,1.21
2023-10-03,918.95,"8.40",7.19,1.21
2023-10-04,1082.77,"8.40",7.19,1.21
2023-10-05,859.38,"8.40",7.19,1.21
2023-10-06,934.51,"8.40",7.19,1.21
2023-10-07,983.16,"8.40",7.19,1.21
2023-10-08,1021.71,"8.40",7.19,1.21
2023-10-09,869.36,"8.40",7.19,1.21
2023-10-10,838.55,"8.40",7.19,1.21
2023-10-11,1032.16,"8.33",7.19,1.14
2023-10-12,731.18,"8.33",7.19,1.14
2023-10-13,746.37,"8.33",7.19,1.14
2023-10-14,641.90,"8.33",7.19,1.14
2023-10-15,811.03,"8.33",7.19,1.14
2023-10-16,709.30,"8.33",7.19,1.14
2023-10-17,657.11,"8.33",7.19,1.14
2023-10-18,770.23,"8.33",7.19,1.14
2023-10-19,755.43,"8.33",7.19,1.14
2023-10-20,988.63,"8.33",7.19,1.14
2023-10-21,778.34,"8.33",7.19,1.14
2023-10-22,934.17,"8.33",7.19,1.14
2023-10-23,837.75,"8.33",7.19,1.14
2023-10-24,969.20,"8.33",7.19,1.14
2023-10-25,853.13,"8.27",7.19,1.08
2023-10-26,856.14,"8.27",7.19,1.08
2023-10-27,1003.10,"8.27",7.19,1.08
2023-10-28,766.12,"8.27",7.19,1.08
2023-10-29,592.77,"8.27",7.19,1.08
2023-10-30,1041.33,"8.27",7.19,1.08
2023-10-31,983.70,"8.27",7.19,1.08
2023-11-01,814.80,"8.27",7.19,1.08
2023-11-02,710.02,"8.27",7.19,1.08
2023-11-03,949.88,"8.27",7.19,1.08
2023-11-04,1055.15,"8.27",7.19,1.08
2023-11-05,690.09,"8.27",7.19,1.08
2023-11-06,1309.22,"8.27",7.19,1.08
2023-11-07,833.55,"8.27",7.19,1.08
2023-11-08,1051.70,"8.16",7.19,0.97
2023-11-09,766.67,"8.16",7.19,0.97
2023-11-10,993.51,"8.16",7.19,0.97
2023-11-11,792.01,"8.16",7.19,0.97
2023-11-12,834.62,"8.16",7.19,0.97
2023-11-13,974.68,"8.16",7.19,0.97
2023-11-14,757.42,"8.16",7.19,0.97
2023-11-15,703.97,"8.16",7.19,0.97
2023-11-16,1026.40,"8.16",7.19,0.97
2023-11-17,1314.32,"8.16",7.19,0.97
2023-11-18,809.47,"8.16",7.19,0.97
2023-11-19,650.42,"8.16",7.19,0.97
2023-11-20,980.64,"8.16",7.19,0.97
2023-11-21,494.30,"8.16",7.19,0.97
2023-11-22,1067.21,"7.89",7.19,0.70
2023-11-23,1119.45,"7.89",7.19,0.70
2023-11-24,1025.79,"7.89",7.19,0.70
2023-11-25,661.33,"7.89",7.19,0.70
2023-11-26,889.68,"7.89",7.19,0.70
2023-11-27,731.67,"7.89",7.19,0.70
2023-11-28,1081.09,"7.89",7.19,0.70
2023-11-29,960.13,"7.89",7.19,0.70
2023-11-30,813.40,"7.89",7.19,0.70
2023-12-01,1127.17,"7.89",7.19,0.70
2023-12-02,814.73,"7.89",7.19,0.70
2023-12-03,1228.61,"7.89",7.19,0.70
2023-12-04,1002.10,"7.89",7.19,0.70
2023-12-05,795.31,"7.89",7.19,0.70
2023-12-06,1124.25,"7.85",7.19,0.66
2023-12-07,1103.46,"7.85",7.19,0.66
2023-12-08,1370.52,"7.85",7.19,0.66
2023-12-09,891.61,"7.85",7.19,0.66
2023-12-10,839.76,"7.85",7.19,0.66
2023-12-11,1087.60,"7.85",7.19,0.66
2023-12-12,741.59,"7.85",7.19,0.66
2023-12-13,1275.85,"7.85",7.19,0.66
2023-12-14,1055.62,"7.85",7.19,0.66
2023-12-15,1141.59,"7.85",7.19,0.66
2023-12-16,878.70,"7.85",7.19,0.66
2023-12-17,855.68,"7.85",7.19,0.66
2023-12-18,1384.65,"7.85",7.19,0.66
2023-12-19,830.28,"7.85",7.19,0.66
2023-12-20,1920.76,"7.51",7.19,0.32
2023-12-21,1210.41,"7.51",7.19,0.32
2023-12-22,1089.38,"7.51",7.19,0.32
2023-12-23,812.16,"7.51",7.19,0.32
2023-12-24,775.07,"7.51",7.19,0.32
2023-12-25,1149.25,"7.51",7.19,0.32
2023-12-26,1083.54,"7.51",7.19,0.32
2023-12-27,1292.21,"7.51",7.19,0.32
2023-12-28,810.50,"7.51",7.19,0.32
2023-12-29,1095.00,"7.51",7.19,0.32
2023-12-30,934.52,"7.51",7.19,0.32
2023-12-31,946.13,"7.51",7.19,0.32
