date,date_day,order_cnt,amount,pay_amount,discountAmount,refuelLiters,path,text_day,text_night,high,low,wc_day,wd_day,wc_night,wd_night,week,holidays,60000361_price,60000361_price_other,60000361_order_cnt,60000361_refuelLiters,60000361_amount,60033428_price,60033428_price_other,60033428_order_cnt,60033428_refuelLiters,60033428_amount,60000359_price,60000359_price_other,60000359_order_cnt,60000359_refuelLiters,60000359_amount,60000304_price,60000304_price_other,60000304_order_cnt,60000304_refuelLiters,60000304_amount,60000305_price,60000305_price_other,60000305_order_cnt,60000305_refuelLiters,60000305_amount,60000312_price,60000312_price_other,60000312_order_cnt,60000312_refuelLiters,60000312_amount,60000313_price,60000313_price_other,60000313_order_cnt,60000313_refuelLiters,60000313_amount,60000317_price,60000317_price_other,60000317_order_cnt,60000317_refuelLiters,60000317_amount
2023-1-1,2023-1-1,104,30554.68,30554.68,0,4114.77,"扬州,扬州市,江苏省,中国",多云,多云,9,3,<3级,东北风,<3级,北风,星期日,,,,0,,,,,0,,,7.2,[7.20],25,2111.49,15202.26,7.55,[7.55],35,846.27,6387.77,7.55,[7.55],33,685.93,5177.44,,,0,,,8.04,[8.04],11,471.08,3787.21,,,0,,
2023-1-2,2023-1-2,129,42049.26,42049.26,0,5666.73,"扬州,扬州市,江苏省,中国",多云,多云,9,-1,<3级,东风,<3级,东北风,星期一,,,,0,,,,,0,,,7.2,[7.20],22,2907.4,20933,7.55,[7.55],44,1204.02,9088.53,7.55,[7.55],47,968.39,7309.24,,,0,,,8.04,[8.04],16,586.92,4718.49,,,0,,
2023-1-3,2023-1-3,224,99877.02,99877.02,0,13616.22,"扬州,扬州市,江苏省,中国",晴,晴,10,-2,<3级,东北风,<3级,东南风,星期二,,,,0,,,,,0,,,7.2,[7.20],71,9766.84,70320.02,7.55,[7.55],55,1493.41,11273.21,7.55,[7.55],68,1336.5,10088.04,,,0,,,8.04,[8.04],30,1019.47,8195.75,,,0,,
2023-1-4,2023-1-4,140,54760.43,54760.43,0,7227.79,"扬州,扬州市,江苏省,中国",晴,多云,11,-1,<3级,南风,<3级,东南风,星期三,,,,0,,,,,0,,,7.41,[7.41],40,4641.3,34391.22,7.75,[7.75],35,1006.47,7799,7.75,[7.75],46,924.94,7166.52,,,0,,,8.25,[8.25],19,655.08,5403.69,,,0,,
2023-1-5,2023-1-5,133,49562.06,49562.06,0,6551.66,"扬州,扬州市,江苏省,中国",多云,多云,13,2,<3级,东南风,<3级,西风,星期四,,,,0,,,,,0,,,7.41,[7.41],32,4234.4,31376.16,7.75,[7.75],37,989.49,7667.5,7.75,[7.75],52,866.85,6716.39,,,0,,,8.25,[8.25],12,460.92,3802.01,,,0,,
2023-1-6,2023-1-6,137,50157.62,50157.62,0,6619.81,"扬州,扬州市,江苏省,中国",多云,多云,15,-2,3~4级,西风,<3级,西北风,星期五,,,,0,,,,,0,,,7.41,[7.41],38,4035.44,29901.81,7.75,[7.75],33,909.19,7045.23,7.75,[7.75],55,1214.62,9411.4,,,0,,,8.25,[8.25],11,460.56,3799.18,,,0,,
2023-1-7,2023-1-7,152,64809.4,64809.4,0,8557.42,"扬州,扬州市,江苏省,中国",多云,多云,15,4,<3级,西南风,<3级,南风,星期六,,,,0,,,,,0,,,7.41,[7.41],43,5773.91,42783.94,7.75,[7.75],35,857.23,6642.42,7.75,[7.75],51,1011.62,7838.1,,,0,,,8.25,[8.25],23,914.66,7544.94,,,0,,
2023-1-8,2023-1-8,140,51042.18,51042.18,0,6745.86,"扬州,扬州市,江苏省,中国",多云,晴,20,1,<3级,西南风,<3级,东北风,星期日,,,,0,,,,,0,,,7.41,[7.41],38,4550.22,33716.35,7.75,[7.75],29,635.96,4927.62,7.75,[7.75],54,932.31,7223.27,,,0,,,8.25,[8.25],19,627.37,5174.94,,,0,,
2023-1-9,2023-1-9,152,69268.82,69268.82,0,9181.97,"扬州,扬州市,江苏省,中国",多云,多云,15,2,3~4级,东北风,<3级,东北风,星期一,,,,0,,,,,0,,,7.41,[7.41],52,6595.96,48875.03,7.75,[7.75],28,895.15,6936.59,7.75,[7.75],57,978.92,7584.19,,,0,,,8.25,[8.25],15,711.94,5873.01,,,0,,
2023-1-10,2023-1-10,155,54624.14,54624.14,0,7126.38,"扬州,扬州市,江苏省,中国",多云,多云,12,0,<3级,东风,<3级,东风,星期二,,,,0,,,,,0,,,7.41,[7.41],34,3813.04,28253.78,7.75,[7.75],30,748.42,5799.21,7.75,[7.75],59,1172.36,9083.7,,,0,,,8.25,[8.25],32,1392.56,11487.45,,,0,,
2023-1-11,2023-1-11,157,61327.38,61327.38,0,8055,"扬州,扬州市,江苏省,中国",多云,多云,15,6,3~4级,南风,<3级,东南风,星期三,,,,0,,,,,0,,,7.41,[7.41],36,4831.01,35797.12,7.75,[7.75],41,1139.94,8833.18,7.75,[7.75],54,986.47,7643.18,,,0,,,8.25,[8.25],26,1097.58,9053.9,,,0,,
2023-1-12,2023-1-12,156,52613.77,52613.77,0,6874.45,"扬州,扬州市,江苏省,中国",小雨,小雨,18,10,3~4级,南风,<3级,北风,星期四,,,,0,,,,,0,,,7.41,[7.41],31,3268.87,24221.82,7.75,[7.75],45,1315.17,10191.14,7.75,[7.75],57,1384.68,10729.29,,,0,,,8.25,[8.25],23,905.73,7471.52,,,0,,
2023-1-13,2023-1-13,139,50982.57,50982.57,0,6668.43,"扬州,扬州市,江苏省,中国",小雨,中雨,18,7,<3级,东风,<3级,东北风,星期五,,,,0,,,,,0,,,7.41,[7.41],27,3656.92,27097.07,7.75,[7.75],36,907.45,7031.57,7.75,[7.75],50,1003.75,7777.18,,,0,,,8.25,[8.25],26,1100.31,9076.75,,,0,,
2023-1-14,2023-1-14,120,41352.3,41352.3,0,5407.7,"扬州,扬州市,江苏省,中国",雨夹雪,雨夹雪,6,-3,3~4级,北风,<3级,北风,星期六,,,,0,,,,,0,,,7.41,[7.41],30,2797.13,20726.3,7.75,[7.75],32,884.32,6852.29,7.75,[7.75],41,931.94,7221.1,,,0,,,8.25,[8.25],17,794.31,6552.61,,,0,,
2023-1-15,2023-1-15,119,35775.72,35775.72,0,4654.98,"扬州,扬州市,江苏省,中国",多云,多云,0,-6,3~4级,北风,<3级,西北风,星期日,,,,0,,,,,0,,,7.41,[7.41],24,2051.52,15201.32,7.75,[7.75],31,904.62,7009.95,7.75,[7.75],43,896.99,6950.03,,,0,,,8.25,[8.25],21,801.85,6614.42,,,0,,
2023-1-16,2023-1-16,133,46161.67,46161.67,0,6018.71,"扬州,扬州市,江苏省,中国",多云,晴,3,-5,<3级,北风,<3级,西风,星期一,,,,0,,,,,0,,,7.41,[7.41],24,2911.17,21571.43,7.75,[7.75],44,1237.32,9587.97,7.75,[7.75],41,849.48,6582,,,0,,,8.25,[8.25],24,1020.74,8420.27,,,0,,
2023-1-17,2023-1-17,91,22310.31,22310.31,0,2886.78,"扬州,扬州市,江苏省,中国",晴,多云,5,-3,<3级,西风,<3级,西北风,星期二,,,,0,,,,,0,,,7.41,[7.41],10,908.88,6734.72,7.75,[7.75],27,693.28,5372.05,7.75,[7.75],38,785.04,6082.77,,,0,,,8.25,[8.25],16,499.58,4120.77,,,0,,
2023-1-18,2023-1-18,113,35018.68,35018.68,0,4656.9,"扬州,扬州市,江苏省,中国",多云,多云,7,-1,3~4级,西北风,<3级,西南风,星期三,,,,0,,,,,0,,,7.24,[7.24],18,1929.08,13966.13,7.59,[7.59],39,1195.39,9071.64,7.59,[7.59],37,799.44,6066.32,,,0,,,8.07,[8.07],19,732.99,5914.59,,,0,,
2023-1-19,2023-1-19,110,25853.62,25853.62,0,3389.53,"扬州,扬州市,江苏省,中国",晴,晴,11,-1,3~4级,西风,<3级,北风,星期四,,,,0,,,,,0,,,7.24,[7.24],8,673.13,4873.28,7.59,[7.59],40,1092.94,8293.79,7.59,[7.59],40,858.56,6514.83,,,0,,,8.07,[8.07],22,764.9,6171.72,,,0,,
2023-1-20,2023-1-20,149,37452.8,37452.8,0,4926.88,"扬州,扬州市,江苏省,中国",晴,多云,8,-1,3~4级,东北风,<3级,东南风,星期五,,,,0,,,,,0,,,7.24,[7.24],11,1027.88,7441.62,7.59,[7.59],55,1668.2,12659.9,7.59,[7.59],59,1349.95,10243.75,,,0,,,8.07,[8.07],24,880.85,7107.53,,,0,,
2023-1-21,2023-1-21,90,20104.52,20104.52,0,2607.27,"扬州,扬州市,江苏省,中国",多云,中雨,10,4,3~4级,东南风,<3级,东北风,星期六,,,,0,,,,,0,,,7.24,[7.24],4,381.12,2759.27,7.59,[7.59],34,766.82,5818.86,7.59,[7.59],29,518.1,3931.37,,,0,,,8.07,[8.07],23,941.23,7595.02,,,0,,
2023-1-22,2023-1-22,28,8510.02,8510.02,0,1125.81,"扬州,扬州市,江苏省,中国",多云,多云,7,4,<3级,北风,<3级,北风,星期日,,,,0,,,,,0,,,7.24,[7.24],4,342.47,2479.45,7.59,[7.59],12,399.48,3031.58,7.59,[7.59],7,205.13,1556.79,,,0,,,8.07,[8.07],5,178.73,1442.2,,,0,,
2023-1-23,2023-1-23,52,12727.14,12727.14,0,1661.24,"扬州,扬州市,江苏省,中国",阵雨,小雪,9,-5,<3级,东北风,3~4级,北风,星期一,,,,0,,,,,0,,,7.24,[7.24],2,195.07,1412.31,7.59,[7.59],23,588.97,4469.37,7.59,[7.59],19,483.94,3672.16,,,0,,,8.07,[8.07],8,393.26,3173.3,,,0,,
2023-1-24,2023-1-24,48,11961.2,11961.2,0,1574.39,"扬州,扬州市,江苏省,中国",多云,晴,-2,-8,3~4级,北风,<3级,东北风,星期二,,,,0,,,,,0,,,7.24,[7.24],3,375.51,2718.65,7.59,[7.59],17,485.89,3687.21,7.59,[7.59],18,410.76,3116.67,,,0,,,8.07,[8.07],10,302.23,2438.67,,,0,,
2023-1-25,2023-1-25,60,15888.53,15888.53,0,2071.26,"扬州,扬州市,江苏省,中国",晴,多云,1,-3,3~4级,南风,<3级,东南风,星期三,,,,0,,,,,0,,,7.24,[7.24],4,404.81,2930.65,7.59,[7.59],20,575.02,4363.48,7.59,[7.59],19,441.49,3350,,,0,,,8.07,[8.07],17,649.94,5244.4,,,0,,
2023-1-26,2023-1-26,87,23304.98,23304.98,0,3079.35,"扬州,扬州市,江苏省,中国",多云,多云,6,-2,3~4级,东北风,<3级,西北风,星期四,,,,0,,,,,0,,,7.24,[7.24],13,1151.08,8333.59,7.59,[7.59],17,479.51,3638.81,7.59,[7.59],37,743.44,5641.43,,,0,,,8.07,[8.07],20,705.32,5691.15,,,0,,
2023-1-27,2023-1-27,100,29138.04,29138.04,0,3848.54,"扬州,扬州市,江苏省,中国",多云,晴,3,-5,3~4级,北风,<3级,西北风,星期五,,,,0,,,,,0,,,7.24,[7.24],10,1450.52,10501.56,7.59,[7.59],25,679.62,5157.2,7.59,[7.59],40,802.31,6087.55,,,0,,,8.07,[8.07],25,916.09,7391.73,,,0,,
2023-1-28,2023-1-28,70,22989.3,22989.3,0,3066.65,"扬州,扬州市,江苏省,中国",晴,多云,6,-4,3~4级,西风,<3级,西南风,星期六,,,,0,,,,,0,,,7.24,[7.24],9,1544.65,11183.09,7.59,[7.59],16,355.35,2696.44,7.59,[7.59],31,632,4795.5,,,0,,,8.07,[8.07],14,534.65,4314.27,,,0,,
2023-1-29,2023-1-29,89,30723.8,30723.8,0,4105.6,"扬州,扬州市,江苏省,中国",多云,多云,11,-5,3~4级,西风,<3级,西北风,星期日,,,,0,,,,,0,,,7.24,[7.24],17,2048.39,14829.98,7.59,[7.59],23,680.51,5164.17,7.59,[7.59],33,788.21,5981.21,,,0,,,8.07,[8.07],16,588.49,4748.44,,,0,,
2023-1-30,2023-1-30,90,31752.71,31752.71,0,4268.62,"扬州,扬州市,江苏省,中国",晴,晴,13,-1,<3级,南风,<3级,南风,星期一,,,,0,,,,,0,,,7.24,[7.24],21,2437.53,17647.53,7.59,[7.59],27,859.25,6520.68,7.59,[7.59],29,534.95,4059.26,,,0,,,8.07,[8.07],13,436.89,3525.24,,,0,,
2023-1-31,2023-1-31,96,30893.81,30893.81,0,4126.54,"扬州,扬州市,江苏省,中国",多云,多云,18,1,3~4级,西风,<3级,东北风,星期二,,,,0,,,,,0,,,7.24,[7.24],18,2117.62,15331.19,7.59,[7.59],26,612.11,4644.88,7.59,[7.59],37,734.36,5572.1,,,0,,,8.07,[8.07],15,662.45,5345.64,,,0,,
2023-2-1,2023-2-1,113,45797.36,45797.36,0,6181.32,"扬州,扬州市,江苏省,中国",多云,多云,12,0,3~4级,东北风,<3级,东北风,星期三,,,,0,,,,,0,,,7.24,[7.24],23,3791.49,27450.15,7.59,[7.59],38,1084.88,8232.75,7.59,[7.59],40,863.68,6553.83,,,0,,,8.07,[8.07],12,441.27,3560.63,,,0,,
2023-2-2,2023-2-2,120,43310.08,43310.08,0,5787.87,"扬州,扬州市,江苏省,中国",多云,多云,7,1,<3级,东风,<3级,东北风,星期四,,,,0,,,,,0,,,7.24,[7.24],24,3051.89,22095.3,7.59,[7.59],37,1065.76,8087.61,7.59,[7.59],36,728.16,5525.45,,,0,,,8.07,[8.07],23,942.06,7601.72,,,0,,
2023-2-3,2023-2-3,147,65670.51,65670.51,0,8866.49,"扬州,扬州市,江苏省,中国",多云,多云,8,-2,<3级,东北风,<3级,东南风,星期五,,,,0,,,,,0,,,7.24,[7.24],38,5883.33,42594.75,7.59,[7.59],35,957.41,7265.22,7.59,[7.59],46,1113.94,8453.13,,,0,,,8.07,[8.07],28,911.81,7357.41,,,0,,
2023-2-4,2023-2-4,94,31085.67,31085.67,0,4077.05,"扬州,扬州市,江苏省,中国",多云,多云,11,1,<3级,东风,<3级,东风,星期六,,,,0,,,,,0,,,7.41,[7.41],19,2325.51,17231.65,7.76,[7.76],27,572.95,4445.17,7.76,[7.76],32,638.51,4953.9,,,0,,,8.25,[8.25],16,540.08,4454.95,,,0,,
2023-2-5,2023-2-5,98,30161.43,30161.43,0,3942.87,"扬州,扬州市,江苏省,中国",多云,小雨,12,6,3~4级,南风,<3级,东风,星期日,,,,0,,,,,0,,,7.41,[7.41],17,2025.04,15005.27,7.76,[7.76],28,768.38,5961.53,7.76,[7.76],37,584.58,4535.15,,,0,,,8.25,[8.25],16,564.87,4659.48,,,0,,
2023-2-6,2023-2-6,94,39266.95,39266.95,0,5185.27,"扬州,扬州市,江苏省,中国",小雨,小雨,9,6,<3级,东风,<3级,东北风,星期一,,,,0,,,,,0,,,7.41,[7.41],27,3359.12,24890.45,7.76,[7.76],18,613.07,4756.76,7.76,[7.76],38,789.09,6122.23,,,0,,,8.25,[8.25],11,423.99,3497.51,,,0,,
2023-2-7,2023-2-7,95,51651.29,51651.29,0,6848.93,"扬州,扬州市,江苏省,中国",多云,多云,10,1,<3级,东北风,<3级,东北风,星期二,,,,0,,,,,0,,,7.41,[7.41],30,5049.37,37415.24,7.76,[7.76],31,868.79,6740.78,7.76,[7.76],20,371.85,2884.88,,,0,,,8.25,[8.25],14,558.92,4610.39,,,0,,
2023-2-8,2023-2-8,118,38782.54,38782.54,0,5068.49,"扬州,扬州市,江苏省,中国",多云,小雨,10,6,3~4级,东风,<3级,东风,星期三,,,,0,,,,,0,,,7.41,[7.41],31,2679.26,19852.83,7.76,[7.76],34,850.92,6602.03,7.76,[7.76],35,737.72,5723.66,,,0,,,8.25,[8.25],18,800.59,6604.02,,,0,,
2023-2-9,2023-2-9,101,36558.29,36558.29,0,4807.16,"扬州,扬州市,江苏省,中国",中雨,多云,7,4,3~4级,东风,<3级,北风,星期四,,,,0,,,,,0,,,7.41,[7.41],25,2818.68,20886,7.76,[7.76],28,866.6,6724.15,7.76,[7.76],33,623.36,4836.05,,,0,,,8.25,[8.25],15,498.52,4112.09,,,0,,
2023-2-10,2023-2-10,120,45195.4,45195.4,0,5967.21,"扬州,扬州市,江苏省,中国",阴,小雨,8,4,<3级,东风,3~4级,东风,星期五,,,,0,,,,,0,,,7.41,[7.41],34,3868.33,28663.54,7.76,[7.76],30,760.4,5899.84,7.76,[7.76],43,833.31,6464.9,,,0,,,8.25,[8.25],13,505.17,4167.12,,,0,,
2023-2-11,2023-2-11,94,29892.97,29892.97,0,3881.16,"扬州,扬州市,江苏省,中国",小雨,小雨,8,7,<3级,东风,<3级,东风,星期六,,,,0,,,,,0,,,7.41,[7.41],16,1635.67,12120.08,7.76,[7.76],31,769.72,5972.01,7.76,[7.76],31,760.33,5899.1,,,0,,,8.25,[8.25],16,715.44,5901.78,,,0,,
2023-2-12,2023-2-12,95,39021.14,39021.14,0,5143.36,"扬州,扬州市,江苏省,中国",小雨,中雨,10,3,<3级,北风,<3级,北风,星期日,,,,0,,,,,0,,,7.41,[7.41],16,3311.03,24534.46,7.76,[7.76],25,494.54,3836.81,7.76,[7.76],39,785.27,6092.24,,,0,,,8.25,[8.25],15,552.52,4557.63,,,0,,
2023-2-13,2023-2-13,108,39240.83,39240.83,0,5135.9,"扬州,扬州市,江苏省,中国",多云,多云,4,0,3~4级,东北风,<3级,北风,星期一,,,,0,,,,,0,,,7.41,[7.41],25,2942.88,21806.12,7.76,[7.76],25,662.81,5142.52,7.76,[7.76],34,672.68,5218.69,,,0,,,8.25,[8.25],24,857.53,7073.5,,,0,,
2023-2-14,2023-2-14,116,43881.04,43881.04,0,5770.65,"扬州,扬州市,江苏省,中国",多云,多云,6,-1,3~4级,北风,<3级,西北风,星期二,,,,0,,,,,0,,,7.41,[7.41],33,3589.78,26599.65,7.76,[7.76],30,801.82,6221.15,7.76,[7.76],34,642.86,4987.4,,,0,,,8.25,[8.25],19,736.19,6072.84,,,0,,
2023-2-15,2023-2-15,113,36812.77,36812.77,0,4838.36,"扬州,扬州市,江苏省,中国",多云,多云,7,-2,3~4级,东北风,<3级,东风,星期三,,,,0,,,,,0,,,7.41,[7.41],26,2948.04,21844.53,7.76,[7.76],31,633.68,4916.46,7.76,[7.76],35,639.14,4958.46,,,0,,,8.25,[8.25],21,617.5,5093.32,,,0,,
2023-2-16,2023-2-16,169,58755.14,58755.14,0,7702.19,"扬州,扬州市,江苏省,中国",多云,小雨,10,5,<3级,东南风,<3级,东南风,星期四,,,,0,,,,,0,,,7.41,[7.41],49,4533.62,33593.74,7.76,[7.76],40,1095.68,8501.03,7.76,[7.76],47,894.81,6942.2,,,0,,,8.25,[8.25],33,1178.08,9718.17,,,0,,
2023-2-17,2023-2-17,122,49157.11,49157.11,0,6462.15,"扬州,扬州市,江苏省,中国",多云,多云,11,9,<3级,南风,<3级,东南风,星期五,,,,0,,,,,0,,,7.41,[7.41],27,3784.86,28045.21,7.76,[7.76],36,971.31,7536.13,7.76,[7.76],41,1012.65,7856.6,,,0,,,8.25,[8.25],18,693.33,5719.17,,,0,,
2023-2-18,2023-2-18,117,35336.58,35336.58,0,4612.68,"扬州,扬州市,江苏省,中国",多云,多云,13,3,<3级,北风,<3级,北风,星期六,,,,0,,,,,0,,,7.41,[7.41],22,2176.3,16125.86,7.76,[7.76],37,976.56,7576.85,7.76,[7.76],41,831.99,6454.86,,,0,,,8.25,[8.25],17,627.83,5179.01,,,0,,
2023-2-19,2023-2-19,91,21498.1,21498.1,0,2775.16,"扬州,扬州市,江苏省,中国",多云,多云,9,-1,3~4级,东北风,<3级,东风,星期日,,,,0,,,,,0,,,7.41,[7.41],16,985.66,7303.58,7.76,[7.76],31,763,5919.99,7.76,[7.76],26,392.84,3047.63,,,0,,,8.25,[8.25],18,633.66,5226.9,,,0,,
2023-2-20,2023-2-20,136,40219.7,40219.7,0,5275.18,"扬州,扬州市,江苏省,中国",多云,多云,12,0,<3级,东风,<3级,东北风,星期一,,,,0,,,,,0,,,7.41,[7.41],37,2863.55,21218.3,7.76,[7.76],38,899.89,6981.54,7.76,[7.76],44,918.22,7123.97,,,0,,,8.25,[8.25],17,593.52,4895.89,,,0,,
2023-2-21,2023-2-21,102,34349.53,34349.53,0,4521.17,"扬州,扬州市,江苏省,中国",多云,多云,6,0,3~4级,东风,<3级,东北风,星期二,,,,0,,,,,0,,,7.41,[7.41],27,2664.82,19745.72,7.76,[7.76],24,621.34,4820.72,7.76,[7.76],41,825.08,6401.45,,,0,,,8.25,[8.25],10,409.93,3381.64,,,0,,
2023-2-22,2023-2-22,117,51551.15,51551.15,0,6820.75,"扬州,扬州市,江苏省,中国",多云,多云,5,0,<3级,东风,<3级,东北风,星期三,,,,0,,,,,0,,,7.41,[7.41],35,4651.86,34469.77,7.76,[7.76],27,696.11,5401.23,7.76,[7.76],44,956.06,7417.51,,,0,,,8.25,[8.25],11,516.72,4262.64,,,0,,
2023-2-23,2023-2-23,100,33152.14,33152.14,0,4316.48,"扬州,扬州市,江苏省,中国",小雨,小雨,8,2,<3级,南风,<3级,西北风,星期四,,,,0,,,,,0,,,7.41,[7.41],21,1939.95,14374.79,7.76,[7.76],27,686.57,5326.97,7.76,[7.76],36,999.92,7758.15,,,0,,,8.25,[8.25],16,690.04,5692.23,,,0,,
2023-2-24,2023-2-24,126,48499.69,48499.69,0,6367.31,"扬州,扬州市,江苏省,中国",多云,多云,11,2,3~4级,北风,<3级,东北风,星期五,,,,0,,,,,0,,,7.41,[7.41],32,3965.15,29381.11,7.76,[7.76],24,733.02,5687.58,7.76,[7.76],41,687.37,5332.63,,,0,,,8.25,[8.25],29,981.77,8098.37,,,0,,
2023-2-25,2023-2-25,121,35569.37,35569.37,0,4648.24,"扬州,扬州市,江苏省,中国",多云,多云,9,-1,3~4级,东北风,<3级,东风,星期六,,,,0,,,,,0,,,7.41,[7.41],21,2217,16427.81,7.76,[7.76],39,963.45,7474.91,7.76,[7.76],45,898.76,6972.75,,,0,,,8.25,[8.25],16,569.03,4693.9,,,0,,
2023-2-26,2023-2-26,108,26616.23,26616.23,0,3444.23,"扬州,扬州市,江苏省,中国",多云,多云,10,-1,<3级,东风,<3级,东南风,星期日,,,,0,,,,,0,,,7.41,[7.41],18,1356.96,10054.58,7.76,[7.76],31,674.31,5231.64,7.76,[7.76],38,662.93,5143.24,,,0,,,8.25,[8.25],21,750.03,6186.77,,,0,,
